closed_at,symbol,side,amount,entry_price,exit_price,realized_pnl,fees,reason,strategy_name,confidence,metadata
2026-05-04T17:54:18Z,BTC/USDT,buy,0.154903059806,80711.76912600,80598.81138313,-27.49250100,9.99500100,stop_loss,scalping_microstructure,0.887293,"{""confidence_features"": {""confidence_hint"": 0.9092546352297497, ""depth_imbalance_signed"": 0.9753488690564848, ""ema_trend_alignment"": 11.554622107721203, ""macd_alignment"": 4.862920256903806, ""rsi"": 75.95700201460255, ""sentiment_alignment"": 0.0, ""signal_strength"": 0.9683959859698522, ""spread_bps"": 0.5180092483249051, ""strategy_market_score"": 0.9855148799083226, ""strategy_performance_score"": 0.55, ""volatility"": 0.000559588780511323, ""volume_zscore"": 0.15406858032707488}, ""depth_quote"": 1143114.3652965, ""ema_fast"": 80535.49011400007, ""ema_slow"": 80442.24937451525, ""estimated_round_trip_cost"": 15.000000000000004, ""imbalance"": 0.9753488690564848, ""macd"": 63.146831347752595, ""macd_hist"": 39.241636514141184, ""macd_signal"": 23.90519483361141, ""market_score"": 0.9855148799083226, ""opened_iteration"": 0, ""order_id"": ""paper-83aad1080d2643ee8940f9be0b2996f6"", ""performance_score"": 0.55, ""raw_model_confidence"": 0.98, ""reward_risk_ratio"": 1.599999999999964, ""risk_capital"": 88.72930375113638, ""rsi"": 75.95700201460255, ""selector_score"": 0.8872930375113639, ""sentiment_multiplier"": 1.0, ""spread_bps"": 0.5180092483249051}"
2026-05-04T17:54:20Z,BTC/USDT,buy,0.154481193584,80709.67870800,80596.72389071,-27.41691724,9.96752224,stop_loss,scalping_microstructure,0.843483,"{""confidence_features"": {""confidence_hint"": 0.9092661837220402, ""depth_imbalance_signed"": 0.9753753626564453, ""ema_trend_alignment"": 11.554783402289507, ""macd_alignment"": 4.862998738690272, ""rsi"": 75.9574299148277, ""sentiment_alignment"": 0.0, ""signal_strength"": 0.9684299521236478, ""spread_bps"": 0.25900797837475564, ""strategy_market_score"": 0.9915582079189957, ""strategy_performance_score"": 0.195, ""volatility"": 0.0005595969366384115, ""volume_zscore"": 0.21815789707026773}, ""depth_quote"": 1143099.0304408, ""ema_fast"": 80535.49233622229, ""ema_slow"": 80442.25028360616, ""estimated_round_trip_cost"": 14.958761248499998, ""imbalance"": 0.9753753626564453, ""macd"": 63.147629068553215, ""macd_hist"": 39.242274690781684, ""macd_signal"": 23.90535437777153, ""market_score"": 0.9915582079189957, ""opened_iteration"": 1, ""order_id"": ""paper-84aafd5cd7ef450a993a68c806cd3a93"", ""performance_score"": 0.195, ""raw_model_confidence"": 0.98, ""reward_risk_ratio"": 1.6000000000001804, ""risk_capital"": 84.11637297989523, ""rsi"": 75.9574299148277, ""selector_score"": 0.8434826746265176, ""sentiment_multiplier"": 1.0, ""spread_bps"": 0.25900797837475564}"
2026-05-04T17:54:23Z,BTC/USDT,buy,0.154056486147,80709.67870800,80596.72389071,-27.34154128,9.94011903,stop_loss,scalping_microstructure,0.843483,"{""confidence_features"": {""confidence_hint"": 0.9086733839305483, ""depth_imbalance_signed"": 0.9740154101936107, ""ema_trend_alignment"": 11.554783402289507, ""macd_alignment"": 4.862998738690272, ""rsi"": 75.9574299148277, ""sentiment_alignment"": 0.0, ""signal_strength"": 0.966686423325142, ""spread_bps"": 0.25900797837475564, ""strategy_market_score"": 0.9915582079189957, ""strategy_performance_score"": 0.195, ""volatility"": 0.0005595969366384115, ""volume_zscore"": 0.21824429204463722}, ""depth_quote"": 1083273.694985, ""ema_fast"": 80535.49233622229, ""ema_slow"": 80442.25028360616, ""estimated_round_trip_cost"": 14.917635872641682, ""imbalance"": 0.9740154101936107, ""macd"": 63.147629068553215, ""macd_hist"": 39.242274690781684, ""macd_signal"": 23.90535437777153, ""market_score"": 0.9915582079189957, ""opened_iteration"": 2, ""order_id"": ""paper-194b3703b154479e9f4749ac0e346612"", ""performance_score"": 0.195, ""raw_model_confidence"": 0.98, ""reward_risk_ratio"": 1.6000000000001804, ""risk_capital"": 83.88511603306863, ""rsi"": 75.9574299148277, ""selector_score"": 0.8434826746265176, ""sentiment_multiplier"": 1.0, ""spread_bps"": 0.25900797837475564}"
2026-05-04T17:54:28Z,BTC/USDT,buy,0.153636925605,80707.58829000,80594.83923629,-27.23522160,9.91280362,stop_loss,momentum,0.839440,"{""confidence_features"": {""confidence_hint"": 0.8535747883919446, ""depth_imbalance_signed"": 0.31513889352803776, ""ema_trend_alignment"": 11.487358787981883, ""macd_alignment"": 4.8301916567408805, ""rsi"": 75.7772302506386, ""sentiment_alignment"": 0.0, ""signal_strength"": 0.8673565382626987, ""spread_bps"": 0.0012402638506014516, ""strategy_market_score"": 0.7588379871113135, ""strategy_performance_score"": 0.55, ""volatility"": 0.0005562573748730086, ""volume_zscore"": 0.4779132373824242}, ""ema_fast"": 80534.5634473334, ""ema_slow"": 80441.87028360616, ""estimated_round_trip_cost"": 14.876623560727067, ""macd"": 62.814181775116595, ""macd_hist"": 38.975516856032385, ""macd_signal"": 23.83866491908421, ""market_score"": 0.7588379871113135, ""opened_iteration"": 4, ""order_id"": ""paper-3aaa8ae9ffb448c187d4f872296d0cea"", ""performance_score"": 0.55, ""raw_model_confidence"": 0.98, ""return_5"": 0.0033877562034150266, ""reward_risk_ratio"": 1.615384615384546, ""risk_capital"": 83.2535049536852, ""rsi"": 75.7772302506386, ""selector_score"": 0.8394395201354716, ""sentiment_multiplier"": 1.0}"
2026-05-04T17:55:28Z,BTC/USDT,buy,0.153533633123,80540.10480000,80636.70783232,4.93338988,9.89842465,take_profit,scalping_microstructure,0.845761,"{""confidence_features"": {""confidence_hint"": 0.9189930798164374, ""depth_imbalance_signed"": 0.9976900066377095, ""ema_trend_alignment"": 7.843248890970787, ""macd_alignment"": 2.6891191137581774, ""rsi"": 59.50031078048444, ""sentiment_alignment"": 0.0, ""signal_strength"": 0.9970384700483454, ""spread_bps"": 0.0012418658556075503, ""strategy_market_score"": 0.9973469216428459, ""strategy_performance_score"": 0.195, ""volatility"": 0.0006122903470109849, ""volume_zscore"": -0.2756129062468773}, ""depth_quote"": 1829397.8713541003, ""ema_fast"": 80494.42243434573, ""ema_slow"": 80431.26546481933, ""estimated_round_trip_cost"": 14.835770728326118, ""imbalance"": 0.9976900066377095, ""macd"": 47.417533015075605, ""macd_hist"": 21.653860062507235, ""macd_signal"": 25.76367295256837, ""market_score"": 0.9973469216428459, ""opened_iteration"": 24, ""order_id"": ""paper-85d84ff5d3c14d67b803c520badb4251"", ""performance_score"": 0.195, ""raw_model_confidence"": 0.98, ""reward_risk_ratio"": 1.5999999999998193, ""risk_capital"": 83.65015600322174, ""rsi"": 59.50031078048444, ""selector_score"": 0.8457614794845894, ""sentiment_multiplier"": 1.0, ""spread_bps"": 0.0012418658556075503}"
2026-05-04T17:55:52Z,BTC/USDT,buy,0.153665366102,80511.19902000,80607.76738157,4.93585065,9.90336198,take_profit,scalping_microstructure,0.856680,"{""confidence_features"": {""confidence_hint"": 0.7703628197333694, ""depth_imbalance_signed"": 0.6567147040942005, ""ema_trend_alignment"": 7.526916556009537, ""macd_alignment"": 2.5351107716525543, ""rsi"": 58.15302864903243, ""sentiment_alignment"": 0.0, ""signal_strength"": 0.559890646274616, ""spread_bps"": 0.0012423117221382527, ""strategy_market_score"": 0.9973767498911208, ""strategy_performance_score"": 0.2789344087681159, ""volatility"": 0.0006053279949179523, ""volume_zscore"": 0.6613293787093664}, ""depth_quote"": 1997905.8368323997, ""ema_fast"": 80490.08687879019, ""ema_slow"": 80429.49182845569, ""estimated_round_trip_cost"": 14.843170813139126, ""imbalance"": 0.6567147040942005, ""macd"": 45.861179738727515, ""macd_hist"": 20.40877744142876, ""macd_signal"": 25.452402297298754, ""market_score"": 0.9973767498911208, ""opened_iteration"": 36, ""order_id"": ""paper-8f5eb53528504f8fbb37e431d59ea422"", ""performance_score"": 0.2789344087681159, ""raw_model_confidence"": 0.98, ""reward_risk_ratio"": 1.599999999999964, ""risk_capital"": 84.77226896708608, ""rsi"": 58.15302864903243, ""selector_score"": 0.8566795131001854, ""sentiment_multiplier"": 1.0, ""spread_bps"": 0.0012423117221382527}"
2026-05-04T17:55:55Z,BTC/USDT,buy,0.153742014412,80511.19902000,80607.76738157,4.93831265,9.90830178,take_profit,scalping_microstructure,0.865256,"{""confidence_features"": {""confidence_hint"": 0.7703628197333694, ""depth_imbalance_signed"": 0.6567147040942005, ""ema_trend_alignment"": 7.505508728001344, ""macd_alignment"": 2.524688238970701, ""rsi"": 58.05862992276334, ""sentiment_alignment"": 0.0, ""signal_strength"": 0.559890646274616, ""spread_bps"": 0.0012423117221382527, ""strategy_market_score"": 0.9973782804641069, ""strategy_performance_score"": 0.3449041795198471, ""volatility"": 0.0006049708612212025, ""volume_zscore"": 0.6628669380464403}, ""depth_quote"": 1997905.8368323997, ""ema_fast"": 80489.79354545685, ""ema_slow"": 80429.37182845568, ""estimated_round_trip_cost"": 14.85057458911563, ""imbalance"": 0.6567147040942005, ""macd"": 45.75588059343863, ""macd_hist"": 20.324538125197655, ""macd_signal"": 25.431342468240977, ""market_score"": 0.9973782804641069, ""opened_iteration"": 37, ""order_id"": ""paper-65762c5dbf8c4f6594b2d0b0e2b7fe43"", ""performance_score"": 0.3449041795198471, ""raw_model_confidence"": 0.98, ""reward_risk_ratio"": 1.599999999999964, ""risk_capital"": 85.66365052659863, ""rsi"": 58.05862992276334, ""selector_score"": 0.8652559200239673, ""sentiment_multiplier"": 1.0, ""spread_bps"": 0.0012423117221382527}"
2026-05-04T17:55:57Z,BTC/USDT,buy,0.153818700953,80511.19902000,80607.76738157,4.94077589,9.91324404,take_profit,scalping_microstructure,0.871353,"{""confidence_features"": {""confidence_hint"": 0.7758456311027297, ""depth_imbalance_signed"": 0.6692929184121449, ""ema_trend_alignment"": 7.505508728001344, ""macd_alignment"": 2.524688238970701, ""rsi"": 58.05862992276334, ""sentiment_alignment"": 0.0, ""signal_strength"": 0.5760165620668525, ""spread_bps"": 0.0012423117221382527, ""strategy_market_score"": 0.9973782804641069, ""strategy_performance_score"": 0.39180160293485944, ""volatility"": 0.0006049708612212025, ""volume_zscore"": 0.6628669380464403}, ""depth_quote"": 1957830.5489408, ""ema_fast"": 80489.79354545685, ""ema_slow"": 80429.37182845568, ""estimated_round_trip_cost"": 14.85798205809677, ""imbalance"": 0.6692929184121449, ""macd"": 45.75588059343863, ""macd_hist"": 20.324538125197655, ""macd_signal"": 25.431342468240977, ""market_score"": 0.9973782804641069, ""opened_iteration"": 38, ""order_id"": ""paper-3a0a12e7db8b461e82b401b387f37e15"", ""performance_score"": 0.39180160293485944, ""raw_model_confidence"": 0.98, ""reward_risk_ratio"": 1.599999999999964, ""risk_capital"": 86.31027383476922, ""rsi"": 58.05862992276334, ""selector_score"": 0.8713525850679189, ""sentiment_multiplier"": 1.0, ""spread_bps"": 0.0012423117221382527}"
2026-05-04T17:56:00Z,BTC/USDT,buy,0.153895425746,80511.19902000,80607.76738157,4.94324035,9.91818877,take_profit,scalping_microstructure,0.875895,"{""confidence_features"": {""confidence_hint"": 0.7754077560286435, ""depth_imbalance_signed"": 0.6682883814774764, ""ema_trend_alignment"": 7.3747760003750376, ""macd_alignment"": 2.461040206772934, ""rsi"": 57.47285682469631, ""sentiment_alignment"": 0.0, ""signal_strength"": 0.5747286942018928, ""spread_bps"": 0.0012423117221382527, ""strategy_market_score"": 0.997386264338058, ""strategy_performance_score"": 0.4267327329363426, ""volatility"": 0.0006031079572992624, ""volume_zscore"": 0.877843883405654}, ""depth_quote"": 1951678.3419674998, ""ema_fast"": 80488.00243434573, ""ema_slow"": 80428.63910118295, ""estimated_round_trip_cost"": 14.86539322192463, ""imbalance"": 0.6682883814774764, ""macd"": 45.112917630467564, ""macd_hist"": 19.8101677548208, ""macd_signal"": 25.302749875646764, ""market_score"": 0.997386264338058, ""opened_iteration"": 39, ""order_id"": ""paper-f86bde661b824acd92e044eaa2cb59e8"", ""performance_score"": 0.4267327329363426, ""raw_model_confidence"": 0.98, ""reward_risk_ratio"": 1.599999999999964, ""risk_capital"": 86.8035291342625, ""rsi"": 57.47285682469631, ""selector_score"": 0.8758953884203811, ""sentiment_multiplier"": 1.0, ""spread_bps"": 0.0012423117221382527}"
2026-05-04T17:56:11Z,ETH/USDT,buy,5.207550829629,2374.55481600,2373.43521800,-15.72052327,9.89015978,max_hold_exit,scalping_microstructure,0.845395,"{""confidence_features"": {""confidence_hint"": 0.8866236570419148, ""depth_imbalance_signed"": 0.9234307426255695, ""ema_trend_alignment"": 11.458030450171828, ""macd_alignment"": 1.9224776195715791, ""rsi"": 62.46105724911927, ""sentiment_alignment"": 0.0, ""signal_strength"": 0.9018342854173967, ""spread_bps"": 0.042121668438290835, ""strategy_market_score"": 0.9964056541380116, ""strategy_performance_score"": 0.195, ""volatility"": 0.0006093516174110334, ""volume_zscore"": -1.0574126275354954}, ""depth_quote"": 604452.126334, ""ema_fast"": 2373.9024142186563, ""ema_slow"": 2371.1821975835724, ""estimated_round_trip_cost"": 14.835770728326118, ""imbalance"": 0.9234307426255695, ""macd"": 2.480986653963555, ""macd_hist"": 0.45640964422962993, ""macd_signal"": 2.024577009733925, ""market_score"": 0.9964056541380116, ""opened_iteration"": 24, ""order_id"": ""paper-2aa8fa846834454ab54ed3fc5ec08ae5"", ""performance_score"": 0.195, ""raw_model_confidence"": 0.98, ""reward_risk_ratio"": 1.599999999999885, ""risk_capital"": 83.61390627299937, ""rsi"": 62.46105724911927, ""selector_score"": 0.8453949694034533, ""sentiment_multiplier"": 1.0, ""spread_bps"": 0.042121668438290835}"
2026-05-04T18:01:13Z,BTC/USDT,sell,0.155452064553,80394.55787200,80334.48368400,-0.65560799,9.99426454,max_hold_exit,scalping_microstructure,0.887259,"{""confidence_features"": {""confidence_hint"": 0.9092026681401715, ""depth_imbalance_signed"": 0.9752296504392169, ""ema_trend_alignment"": -2.526018417849235, ""macd_alignment"": 0.7557279285401549, ""rsi"": 46.04907117172459, ""sentiment_alignment"": -0.0, ""signal_strength"": 0.9682431415887397, ""spread_bps"": 0.5185746410158658, ""strategy_market_score"": 0.9853691388691763, ""strategy_performance_score"": 0.55, ""volatility"": 0.0005905167738835628, ""volume_zscore"": -0.37846990646776874}, ""depth_quote"": 1973951.0041135002, ""ema_fast"": 80460.3380715196, ""ema_slow"": 80440.03120737703, ""estimated_round_trip_cost"": 15.0, ""imbalance"": -0.9752296504392169, ""macd"": 27.04752461137832, ""macd_hist"": -6.075357275768589, ""macd_signal"": 33.12288188714691, ""market_score"": 0.9853691388691763, ""opened_iteration"": 16, ""order_id"": ""paper-d5678cce8f0f455ba13192139d26228d"", ""performance_score"": 0.55, ""raw_model_confidence"": 0.98, ""reward_risk_ratio"": 1.599999999999964, ""risk_capital"": 88.7258769451257, ""rsi"": 46.04907117172459, ""selector_score"": 0.887258769451257, ""sentiment_multiplier"": 1.0, ""spread_bps"": 0.5185746410158658}"
